Class,"0.0","1.0","2.0","3.0","4.0","5.0","6.0","7.0","8.0","9.0","10.0","11.0","12.0","13.0","14.0","15.0","16.0","17.0","18.0","19.0","20.0","21.0","22.0","23.0","24.0"
ACC,1.0,1.0,1.0,1.0,1.0,1.0,0.99964,0.99858,0.99929,1.0,1.0,1.0,0.99964,0.99964,1.0,0.99929,1.0,1.0,1.0,1.0,0.99716,0.99609,1.0,1.0,1.0
AGF,1.0,1.0,1.0,1.0,1.0,1.0,0.99179,0.99145,0.99145,1.0,1.0,1.0,0.99801,0.99279,1.0,0.98658,1.0,1.0,1.0,1.0,0.90575,0.92232,1.0,1.0,1.0
AGM,1.0,1.0,1.0,1.0,1.0,1.0,0.99493,0.99892,0.9955,1.0,1.0,1.0,0.99973,0.99555,1.0,0.99306,1.0,1.0,1.0,1.0,0.94641,0.9611,1.0,1.0,1.0
AM,0,0,0,0,0,0,-1,4,0,0,0,0,1,-1,0,0,0,0,0,0,-4,1,0,0,0
AUC,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99928,0.99148,1.0,1.0,1.0,0.99982,0.99123,1.0,0.98666,1.0,1.0,1.0,1.0,0.89964,0.92749,1.0,1.0,1.0
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Excellent
AUPR,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.96078,0.98333,1.0,1.0,1.0,0.99038,0.99123,1.0,0.97368,1.0,1.0,1.0,1.0,0.86154,0.84524,1.0,1.0,1.0
BCD,0.0,0.0,0.0,0.0,0.0,0.0,0.00018,0.00071,0.0,0.0,0.0,0.0,0.00018,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.00071,0.00018,0.0,0.0,0.0
BM,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.99855,0.98297,1.0,1.0,1.0,0.99964,0.98246,1.0,0.97332,1.0,1.0,1.0,1.0,0.79928,0.85498,1.0,1.0,1.0
CEN,0,0,0,0,0,0,0.01199,0.03965,0.02061,0,0,0,0.01162,0.01081,0,0.02944,0,0,0,0,0.09256,0.11445,0,0,0
DOR,None,None,None,None,None,None,None,None,162309.0,None,None,None,None,None,None,102601.0,None,None,None,None,5560.0,2771.0,None,None,None
DP,None,None,None,None,None,None,None,None,2.87261,None,None,None,None,None,None,2.76279,None,None,None,None,2.06477,1.89802,None,None,None
DPI,None,None,None,None,None,None,None,None,Fair,None,None,None,None,None,None,Fair,None,None,None,None,Fair,Limited,None,None,None
ERR,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.00142,0.00071,0.0,0.0,0.0,0.00036,0.00036,0.0,0.00071,0.0,0.0,0.0,0.0,0.00284,0.00391,0.0,0.0,0.0
F0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.99593,0.93625,0.98333,1.0,1.0,1.0,0.98456,0.99644,1.0,0.97368,1.0,1.0,1.0,1.0,0.89552,0.83799,1.0,1.0,1.0
F1,1.0,1.0,1.0,1.0,1.0,1.0,0.9899,0.95918,0.98333,1.0,1.0,1.0,0.99029,0.99115,1.0,0.97368,1.0,1.0,1.0,1.0,0.85714,0.84507,1.0,1.0,1.0
F2,1.0,1.0,1.0,1.0,1.0,1.0,0.98394,0.98326,0.98333,1.0,1.0,1.0,0.99609,0.98592,1.0,0.97368,1.0,1.0,1.0,1.0,0.82192,0.85227,1.0,1.0,1.0
FDR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07843,0.01667,0.0,0.0,0.0,0.01923,0.0,0.0,0.02632,0.0,0.0,0.0,0.0,0.07692,0.16667,0.0,0.0,0.0
FN,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,6,5,0,0,0
FNR,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01667,0.0,0.0,0.0,0.0,0.01754,0.0,0.02632,0.0,0.0,0.0,0.0,0.2,0.14286,0.0,0.0,0.0
FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.00036,0.0,0.0,0.0,0.0,0.00036,0.0,0.00036,0.0,0.0,0.0,0.0,0.00215,0.0018,0.0,0.0,0.0
FP,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,1,0,0,0,0,2,6,0,0,0
FPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00145,0.00036,0.0,0.0,0.0,0.00036,0.0,0.0,0.00036,0.0,0.0,0.0,0.0,0.00072,0.00216,0.0,0.0,0.0
G,1.0,1.0,1.0,1.0,1.0,1.0,0.98995,0.95998,0.98333,1.0,1.0,1.0,0.99034,0.99119,1.0,0.97368,1.0,1.0,1.0,1.0,0.85934,0.84515,1.0,1.0,1.0
GI,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.99855,0.98297,1.0,1.0,1.0,0.99964,0.98246,1.0,0.97332,1.0,1.0,1.0,1.0,0.79928,0.85498,1.0,1.0,1.0
GM,1.0,1.0,1.0,1.0,1.0,1.0,0.98995,0.99928,0.99145,1.0,1.0,1.0,0.99982,0.99119,1.0,0.98658,1.0,1.0,1.0,1.0,0.89411,0.92482,1.0,1.0,1.0
IBA,1.0,1.0,1.0,1.0,1.0,1.0,0.9604,1.0,0.96695,1.0,1.0,1.0,1.0,0.96522,1.0,0.94807,1.0,1.0,1.0,1.0,0.64011,0.73495,1.0,1.0,1.0
IS,5.78496,6.36992,1.6388,2.61503,5.41299,6.36992,5.81352,5.78496,5.52624,5.81352,4.75694,4.35935,5.75694,5.62449,6.20945,6.17098,5.78496,6.3281,5.78496,6.70249,6.43501,6.06506,4.51487,6.3281,3.51487
J,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.92157,0.96721,1.0,1.0,1.0,0.98077,0.98246,1.0,0.94872,1.0,1.0,1.0,1.0,0.75,0.73171,1.0,1.0,1.0
LS,55.13725,82.70588,3.11406,6.12636,42.60606,82.70588,56.24,55.13725,46.08556,56.24,27.03846,20.52555,54.07692,49.33333,74.0,72.05263,55.13725,80.34286,55.13725,104.14815,86.52308,66.95238,22.86179,80.34286,11.43089
MCC,1.0,1.0,1.0,1.0,1.0,1.0,0.98977,0.95929,0.98297,1.0,1.0,1.0,0.99016,0.99101,1.0,0.97332,1.0,1.0,1.0,1.0,0.85795,0.84318,1.0,1.0,1.0
MCCI,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Strong,Strong,Very Strong,Very Strong,Very Strong
MCEN,0,0,0,0,0,0,0.02021,0.06297,0.03482,0,0,0,0.01963,0.01832,0,0.04853,0,0,0,0,0.12584,0.16014,0,0,0
MK,1.0,1.0,1.0,1.0,1.0,1.0,0.99964,0.92157,0.98297,1.0,1.0,1.0,0.98077,0.99964,1.0,0.97332,1.0,1.0,1.0,1.0,0.92092,0.83153,1.0,1.0,1.0
N,2761,2778,1909,2353,2746,2778,2762,2765,2752,2762,2708,2675,2761,2755,2774,2774,2761,2777,2761,2785,2782,2777,2689,2777,2566
NLR,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01667,0.0,0.0,0.0,0.0,0.01754,0.0,0.02633,0.0,0.0,0.0,0.0,0.20014,0.14317,0.0,0.0,0.0
NLRI,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Poor,Fair,Good,Good,Good
NPV,1.0,1.0,1.0,1.0,1.0,1.0,0.99964,1.0,0.99964,1.0,1.0,1.0,1.0,0.99964,1.0,0.99964,1.0,1.0,1.0,1.0,0.99785,0.9982,1.0,1.0,1.0
OC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98333,1.0,1.0,1.0,1.0,1.0,1.0,0.97368,1.0,1.0,1.0,1.0,0.92308,0.85714,1.0,1.0,1.0
OOC,1.0,1.0,1.0,1.0,1.0,1.0,0.98995,0.95998,0.98333,1.0,1.0,1.0,0.99034,0.99119,1.0,0.97368,1.0,1.0,1.0,1.0,0.85934,0.84515,1.0,1.0,1.0
OP,1.0,1.0,1.0,1.0,1.0,1.0,0.98954,0.99785,0.99107,1.0,1.0,1.0,0.99946,0.99079,1.0,0.98614,1.0,1.0,1.0,1.0,0.8864,0.92024,1.0,1.0,1.0
P,51,34,903,459,66,34,50,47,60,50,104,137,51,57,38,38,51,35,51,27,30,35,123,35,246
PLR,None,None,None,None,None,None,None,691.25,2706.13333,None,None,None,2761.0,None,None,2701.0,None,None,None,None,1112.8,396.71429,None,None,None
PLRI,None,None,None,None,None,None,None,Good,Good,None,None,None,Good,None,None,Good,None,None,None,None,Good,Good,None,None,None
POP,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812
PPV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92157,0.98333,1.0,1.0,1.0,0.98077,1.0,1.0,0.97368,1.0,1.0,1.0,1.0,0.92308,0.83333,1.0,1.0,1.0
PRE,0.01814,0.01209,0.32112,0.16323,0.02347,0.01209,0.01778,0.01671,0.02134,0.01778,0.03698,0.04872,0.01814,0.02027,0.01351,0.01351,0.01814,0.01245,0.01814,0.0096,0.01067,0.01245,0.04374,0.01245,0.08748
Q,None,None,None,None,None,None,None,None,0.99999,None,None,None,None,None,None,0.99998,None,None,None,None,0.99964,0.99928,None,None,None
RACC,0.00033,0.00015,0.10312,0.02664,0.00055,0.00015,0.00031,0.0003,0.00046,0.00032,0.00137,0.00237,0.00034,0.0004,0.00018,0.00018,0.00033,0.00015,0.00033,9e-05,0.0001,0.00016,0.00191,0.00015,0.00765
RACCU,0.00033,0.00015,0.10312,0.02664,0.00055,0.00015,0.00031,0.0003,0.00046,0.00032,0.00137,0.00237,0.00034,0.0004,0.00018,0.00018,0.00033,0.00015,0.00033,9e-05,0.0001,0.00016,0.00191,0.00015,0.00765
TN,2761,2778,1909,2353,2746,2778,2762,2761,2751,2762,2708,2675,2760,2755,2774,2773,2761,2777,2761,2785,2780,2771,2689,2777,2566
TNR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99855,0.99964,1.0,1.0,1.0,0.99964,1.0,1.0,0.99964,1.0,1.0,1.0,1.0,0.99928,0.99784,1.0,1.0,1.0
TON,2761,2778,1909,2353,2746,2778,2763,2761,2752,2762,2708,2675,2760,2756,2774,2774,2761,2777,2761,2785,2786,2776,2689,2777,2566
TOP,51,34,903,459,66,34,49,51,60,50,104,137,52,56,38,38,51,35,51,27,26,36,123,35,246
TP,51,34,903,459,66,34,49,47,59,50,104,137,51,56,38,37,51,35,51,27,24,30,123,35,246
TPR,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.98333,1.0,1.0,1.0,1.0,0.98246,1.0,0.97368,1.0,1.0,1.0,1.0,0.8,0.85714,1.0,1.0,1.0
Y,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.99855,0.98297,1.0,1.0,1.0,0.99964,0.98246,1.0,0.97332,1.0,1.0,1.0,1.0,0.79928,0.85498,1.0,1.0,1.0
dInd,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.00145,0.01667,0.0,0.0,0.0,0.00036,0.01754,0.0,0.02632,0.0,0.0,0.0,0.0,0.2,0.14287,0.0,0.0,0.0
sInd,1.0,1.0,1.0,1.0,1.0,1.0,0.98586,0.99898,0.98821,1.0,1.0,1.0,0.99974,0.98759,1.0,0.98139,1.0,1.0,1.0,1.0,0.85858,0.89897,1.0,1.0,1.0
