Class,"0.0","1.0","2.0","3.0","4.0","5.0","6.0","7.0","8.0","9.0","10.0","11.0","12.0","13.0","14.0","15.0","16.0","17.0","18.0","19.0","20.0","21.0","22.0","23.0","24.0"
ACC,1.0,0.99929,1.0,1.0,1.0,0.98791,0.9968,0.99538,0.99929,1.0,0.99964,1.0,0.99929,0.99929,0.99929,0.99929,1.0,1.0,1.0,1.0,0.99182,0.99004,0.99964,0.99964,0.98791
AGF,1.0,0.9941,1.0,1.0,1.0,0.0,0.96961,0.94563,0.9862,1.0,0.999,1.0,0.99603,0.98548,0.97821,0.99471,1.0,1.0,1.0,1.0,0.75872,0.71132,0.99915,0.9883,0.98514
AGM,1.0,0.99946,1.0,1.0,1.0,0,0.98792,0.97567,0.99151,1.0,0.99972,1.0,0.99946,0.99106,0.98657,0.99946,1.0,1.0,1.0,1.0,0.87326,0.8451,0.99972,0.99276,0.9902
AM,0,2,0,0,0,-34,5,5,-2,0,1,0,2,-2,-2,2,0,0,0,0,-3,-8,1,-1,34
AUC,1.0,0.99964,1.0,1.0,1.0,0.5,0.97873,0.95582,0.98333,1.0,0.99982,1.0,0.99964,0.98246,0.97368,0.99964,1.0,1.0,1.0,1.0,0.78154,0.74106,0.99981,0.98571,0.99337
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent
AUPR,1.0,0.97222,1.0,1.0,1.0,None,0.91636,0.87091,0.98333,1.0,0.99524,1.0,0.98113,0.98246,0.97368,0.975,1.0,1.0,1.0,1.0,0.59815,0.55767,0.99597,0.98571,0.93929
BCD,0.0,0.00036,0.0,0.0,0.0,0.00605,0.00089,0.00089,0.00036,0.0,0.00018,0.0,0.00036,0.00036,0.00036,0.00036,0.0,0.0,0.0,0.0,0.00053,0.00142,0.00018,0.00018,0.00605
BM,1.0,0.99928,1.0,1.0,1.0,0.0,0.95747,0.91164,0.96667,1.0,0.99963,1.0,0.99928,0.96491,0.94737,0.99928,1.0,1.0,1.0,1.0,0.56307,0.48211,0.99963,0.97143,0.98675
