Class,"0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","3","4","5","6","7","8","9"
ACC,1.0,1.0,0.99964,1.0,0.99964,0.99964,1.0,0.99929,0.99964,1.0,1.0,1.0,0.99929,0.98933,0.98898,0.99929,1.0,1.0,1.0,1.0,1.0,0.99644,0.99467,0.99929,1.0
AGF,1.0,1.0,0.99636,1.0,0.9984,0.99266,1.0,0.99579,0.99,1.0,1.0,1.0,0.99967,0.75667,0.74876,0.9983,1.0,1.0,1.0,1.0,1.0,0.95599,0.94284,0.98468,1.0
AGM,1.0,1.0,0.99778,1.0,0.99973,0.99547,1.0,0.99946,0.99382,1.0,1.0,1.0,0.99927,0.87145,0.86668,0.99945,1.0,1.0,1.0,1.0,1.0,0.98065,0.97166,0.99056,1.0
AM,0,0,-1,0,1,-1,0,2,-1,0,0,0,2,-4,-5,2,0,0,0,0,0,4,3,-2,0
AUC,1.0,1.0,0.99565,1.0,0.99982,0.99107,1.0,0.99964,0.9878,1.0,1.0,1.0,0.99948,0.77971,0.77266,0.99963,1.0,1.0,1.0,1.0,1.0,0.96464,0.94836,0.98148,1.0
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
AUPR,1.0,1.0,0.99565,1.0,0.99231,0.99107,1.0,0.98,0.9878,1.0,1.0,1.0,0.99887,0.59634,0.58929,0.992,1.0,1.0,1.0,1.0,1.0,0.89299,0.87857,0.98148,1.0
BCD,0.0,0.0,0.00018,0.0,0.00018,0.00018,0.0,0.00036,0.00018,0.0,0.0,0.0,0.00036,0.00071,0.00089,0.00036,0.0,0.0,0.0,0.0,0.0,0.00071,0.00053,0.00036,0.0
BM,1.0,1.0,0.9913,1.0,0.99964,0.98214,1.0,0.99928,0.97561,1.0,1.0,1.0,0.99896,0.55941,0.54531,0.99926,1.0,1.0,1.0,1.0,1.0,0.92929,0.89673,0.96296,1.0
CEN,0,0,0.00613,0,0.00973,0.01096,0,0.02052,0.01401,0,0,0,0.00218,0.23258,0.23142,0.01149,0,0,0,0,0,0.09825,0.11556,0.01935,0
DOR,None,None,None,None,None,None,None,None,None,None,None,None,None,274.75113,259.39316,None,None,None,None,None,None,5390.52381,2743.0,None,None
DP,None,None,None,None,None,None,None,None,None,None,None,None,None,1.34466,1.33089,None,None,None,None,None,None,2.05736,1.89559,None,None
DPI,None,None,None,None,None,None,None,None,None,None,None,None,None,Limited,Limited,None,None,None,None,None,None,Fair,Limited,None,None
ERR,0.0,0.0,0.00036,0.0,0.00036,0.00036,0.0,0.00071,0.00036,0.0,0.0,0.0,0.00071,0.01067,0.01102,0.00071,0.0,0.0,0.0,0.0,0.0,0.00356,0.00533,0.00071,0.0
F0.5,1.0,1.0,0.99825,1.0,0.98765,0.99638,1.0,0.96774,0.99502,1.0,1.0,1.0,0.9982,0.61453,0.61111,0.98716,1.0,1.0,1.0,1.0,1.0,0.86864,0.86538,0.99237,1.0
F1,1.0,1.0,0.99563,1.0,0.99225,0.99099,1.0,0.97959,0.98765,1.0,1.0,1.0,0.99887,0.59459,0.58667,0.99194,1.0,1.0,1.0,1.0,1.0,0.8913,0.87805,0.98113,1.0
F2,1.0,1.0,0.99303,1.0,0.99688,0.98566,1.0,0.99174,0.98039,1.0,1.0,1.0,0.99955,0.57592,0.5641,0.99676,1.0,1.0,1.0,1.0,1.0,0.91518,0.89109,0.97015,1.0
FDR,0.0,0.0,0.0,0.0,0.01538,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.00225,0.37143,0.37143,0.016,0.0,0.0,0.0,0.0,0.0,0.14583,0.14286,0.0,0.0
FN,0,0,1,0,0,1,0,0,1,0,0,0,0,17,18,0,0,0,0,0,0,3,6,2,0
FNR,0.0,0.0,0.0087,0.0,0.0,0.01786,0.0,0.0,0.02439,0.0,0.0,0.0,0.0,0.4359,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.06818,0.1,0.03704,0.0
FOR,0.0,0.0,0.00037,0.0,0.0,0.00036,0.0,0.0,0.00036,0.0,0.0,0.0,0.0,0.00612,0.00648,0.0,0.0,0.0,0.0,0.0,0.0,0.00109,0.00218,0.00072,0.0
FP,0,0,0,0,1,0,0,2,0,0,0,0,2,13,13,2,0,0,0,0,0,7,9,0,0
FPR,0.0,0.0,0.0,0.0,0.00036,0.0,0.0,0.00072,0.0,0.0,0.0,0.0,0.00104,0.00469,0.00469,0.00074,0.0,0.0,0.0,0.0,0.0,0.00253,0.00327,0.0,0.0
G,1.0,1.0,0.99564,1.0,0.99228,0.99103,1.0,0.9798,0.98773,1.0,1.0,1.0,0.99887,0.59547,0.58797,0.99197,1.0,1.0,1.0,1.0,1.0,0.89215,0.87831,0.98131,1.0
GI,1.0,1.0,0.9913,1.0,0.99964,0.98214,1.0,0.99928,0.97561,1.0,1.0,1.0,0.99896,0.55941,0.54531,0.99926,1.0,1.0,1.0,1.0,1.0,0.92929,0.89673,0.96296,1.0
GM,1.0,1.0,0.99564,1.0,0.99982,0.99103,1.0,0.99964,0.98773,1.0,1.0,1.0,0.99948,0.74931,0.73988,0.99963,1.0,1.0,1.0,1.0,1.0,0.96409,0.94713,0.98131,1.0
IBA,1.0,1.0,0.98268,1.0,1.0,0.9646,1.0,1.0,0.95181,1.0,1.0,1.0,1.0,0.31935,0.30365,1.0,1.0,1.0,1.0,1.0,1.0,0.86844,0.81028,0.9273,1.0
IS,6.24793,6.3281,4.61189,4.43501,5.43501,5.65003,6.24793,5.81352,6.09983,6.03112,5.87242,6.87242,1.66459,5.50213,5.4656,4.4916,6.55049,3.55049,2.55651,5.55049,6.45738,5.77054,5.3281,5.70249,5.84267
J,1.0,1.0,0.9913,1.0,0.98462,0.98214,1.0,0.96,0.97561,1.0,1.0,1.0,0.99775,0.42308,0.41509,0.984,1.0,1.0,1.0,1.0,1.0,0.80392,0.78261,0.96296,1.0
LS,76.0,80.34286,24.45217,21.63077,43.26154,50.21429,76.0,56.24,68.58537,65.39535,58.58333,117.16667,3.17024,45.32161,44.18857,22.496,93.73333,11.71667,5.88285,46.86667,87.875,54.58902,40.17143,52.07407,57.38776
MCC,1.0,1.0,0.99546,1.0,0.9921,0.99085,1.0,0.97944,0.98755,1.0,1.0,1.0,0.99835,0.59009,0.58244,0.9916,1.0,1.0,1.0,1.0,1.0,0.89037,0.8756,0.98095,1.0
MCCI,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Moderate,Moderate,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Strong,Strong,Very Strong,Very Strong
MCEN,0,0,0.01066,0,0.01659,0.01857,0,0.03326,0.0234,0,0,0,0.00395,0.2784,0.27502,0.01996,0,0,0,0,0,0.14735,0.17353,0.03153,0
MK,1.0,1.0,0.99963,1.0,0.98462,0.99964,1.0,0.96,0.99964,1.0,1.0,1.0,0.99775,0.62245,0.62209,0.984,1.0,1.0,1.0,1.0,1.0,0.85308,0.85496,0.99928,1.0
N,2775,2777,2697,2682,2748,2756,2775,2764,2771,2769,2764,2788,1927,2773,2772,2689,2782,2572,2334,2752,2780,2768,2752,2758,2763
NLR,0.0,0.0,0.0087,0.0,0.0,0.01786,0.0,0.0,0.02439,0.0,0.0,0.0,0.0,0.43795,0.45212,0.0,0.0,0.0,0.0,0.0,0.0,0.06835,0.10033,0.03704,0.0
NLRI,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Poor,Poor,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good
NPV,1.0,1.0,0.99963,1.0,1.0,0.99964,1.0,1.0,0.99964,1.0,1.0,1.0,1.0,0.99388,0.99352,1.0,1.0,1.0,1.0,1.0,1.0,0.99891,0.99782,0.99928,1.0
OC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.62857,0.62857,1.0,1.0,1.0,1.0,1.0,1.0,0.93182,0.9,1.0,1.0
OOC,1.0,1.0,0.99564,1.0,0.99228,0.99103,1.0,0.9798,0.98773,1.0,1.0,1.0,0.99887,0.59547,0.58797,0.99197,1.0,1.0,1.0,1.0,1.0,0.89215,0.87831,0.98131,1.0
OP,1.0,1.0,0.99528,1.0,0.99946,0.99064,1.0,0.99893,0.9873,1.0,1.0,1.0,0.99877,0.71281,0.70081,0.99892,1.0,1.0,1.0,1.0,1.0,0.96241,0.94367,0.98042,1.0
P,37,35,115,130,64,56,37,48,41,43,48,24,885,39,40,123,30,240,478,60,32,44,60,54,49
PLR,None,None,None,None,2748.0,None,None,1382.0,None,None,None,None,963.5,120.32742,117.27692,1344.5,None,None,None,None,None,368.46753,275.2,None,None
PLRI,None,None,None,None,Good,None,None,Good,None,None,None,None,Good,Good,Good,Good,None,None,None,None,None,Good,Good,None,None
POP,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812
PPV,1.0,1.0,1.0,1.0,0.98462,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.99775,0.62857,0.62857,0.984,1.0,1.0,1.0,1.0,1.0,0.85417,0.85714,1.0,1.0
PRE,0.01316,0.01245,0.0409,0.04623,0.02276,0.01991,0.01316,0.01707,0.01458,0.01529,0.01707,0.00853,0.31472,0.01387,0.01422,0.04374,0.01067,0.08535,0.16999,0.02134,0.01138,0.01565,0.02134,0.0192,0.01743
Q,None,None,None,None,None,None,None,None,None,None,None,None,None,0.99275,0.99232,None,None,None,None,None,None,0.99963,0.99927,None,None
RACC,0.00017,0.00015,0.00166,0.00214,0.00053,0.00039,0.00017,0.0003,0.00021,0.00023,0.00029,7e-05,0.09927,0.00017,0.00018,0.00194,0.00011,0.00728,0.0289,0.00046,0.00013,0.00027,0.00048,0.00036,0.0003
RACCU,0.00017,0.00015,0.00166,0.00214,0.00053,0.00039,0.00017,0.0003,0.00021,0.00023,0.00029,7e-05,0.09927,0.00017,0.00018,0.00194,0.00011,0.00728,0.0289,0.00046,0.00013,0.00027,0.00048,0.00036,0.0003
TN,2775,2777,2697,2682,2747,2756,2775,2762,2771,2769,2764,2788,1925,2760,2759,2687,2782,2572,2334,2752,2780,2761,2743,2758,2763
TNR,1.0,1.0,1.0,1.0,0.99964,1.0,1.0,0.99928,1.0,1.0,1.0,1.0,0.99896,0.99531,0.99531,0.99926,1.0,1.0,1.0,1.0,1.0,0.99747,0.99673,1.0,1.0
TON,2775,2777,2698,2682,2747,2757,2775,2762,2772,2769,2764,2788,1925,2777,2777,2687,2782,2572,2334,2752,2780,2764,2749,2760,2763
TOP,37,35,114,130,65,55,37,50,40,43,48,24,887,35,35,125,30,240,478,60,32,48,63,52,49
TP,37,35,114,130,64,55,37,48,40,43,48,24,885,22,22,123,30,240,478,60,32,41,54,52,49
TPR,1.0,1.0,0.9913,1.0,1.0,0.98214,1.0,1.0,0.97561,1.0,1.0,1.0,1.0,0.5641,0.55,1.0,1.0,1.0,1.0,1.0,1.0,0.93182,0.9,0.96296,1.0
Y,1.0,1.0,0.9913,1.0,0.99964,0.98214,1.0,0.99928,0.97561,1.0,1.0,1.0,0.99896,0.55941,0.54531,0.99926,1.0,1.0,1.0,1.0,1.0,0.92929,0.89673,0.96296,1.0
dInd,0.0,0.0,0.0087,0.0,0.00036,0.01786,0.0,0.00072,0.02439,0.0,0.0,0.0,0.00104,0.43592,0.45002,0.00074,0.0,0.0,0.0,0.0,0.0,0.06823,0.10005,0.03704,0.0
