Class,"0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","3","4","5","6","7","8","9"
ACC,1.0,1.0,0.99893,1.0,0.99929,0.99929,1.0,0.99929,0.99964,1.0,0.99858,1.0,0.99929,0.99147,0.98898,1.0,1.0,1.0,1.0,1.0,1.0,0.99609,0.99787,0.99929,1.0
AGF,1.0,1.0,0.99456,1.0,0.99682,0.98522,1.0,0.99579,0.99,1.0,0.97185,1.0,0.99967,0.84127,0.77432,1.0,1.0,1.0,1.0,1.0,1.0,0.94624,0.96314,0.98468,1.0
AGM,1.0,1.0,0.99722,1.0,0.99946,0.9909,1.0,0.99946,0.99382,1.0,0.98372,1.0,0.99927,0.9198,0.88275,1.0,1.0,1.0,1.0,1.0,1.0,0.97469,0.97822,0.99056,1.0
AM,0,0,1,0,2,-2,0,2,-1,0,-2,0,2,2,-1,0,0,0,0,0,0,3,-4,-2,0
AUC,1.0,1.0,0.99528,1.0,0.99964,0.98214,1.0,0.99964,0.9878,1.0,0.96857,1.0,0.99948,0.85663,0.79729,1.0,1.0,1.0,1.0,1.0,1.0,0.95328,0.95815,0.98148,1.0
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
AUPR,1.0,1.0,0.98703,1.0,0.98485,0.98214,1.0,0.98,0.9878,1.0,0.95788,1.0,0.99887,0.70044,0.60769,1.0,1.0,1.0,1.0,1.0,1.0,0.88008,0.9494,0.98148,1.0
BCD,0.0,0.0,0.00018,0.0,0.00036,0.00036,0.0,0.00036,0.00018,0.0,0.00036,0.0,0.00036,0.00036,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.00053,0.00071,0.00036,0.0
BM,1.0,1.0,0.99056,1.0,0.99927,0.96429,1.0,0.99928,0.97561,1.0,0.93714,1.0,0.99896,0.71326,0.59459,1.0,1.0,1.0,1.0,1.0,1.0,0.90656,0.9163,0.96296,1.0
CEN,0,0,0.01671,0,0.01659,0.01882,0,0.02052,0.01401,0,0.04613,0,0.00218,0.15813,0.2376,0,0,0,0,0,0,0.1064,0.05117,0.01935,0
DOR,None,None,153615.0,None,None,None,None,None,None,None,41445.0,None,None,540.41958,275.7,None,None,None,None,None,None,3944.28571,30261.0,None,None
DP,None,None,2.85943,None,None,None,None,None,None,None,2.54575,None,None,1.50663,1.34548,None,None,None,None,None,None,1.98256,2.47044,None,None
DPI,None,None,Fair,None,None,None,None,None,None,None,Fair,None,None,Limited,Limited,None,None,None,None,None,None,Limited,Fair,None,None
ERR,0.0,0.0,0.00107,0.0,0.00071,0.00071,0.0,0.00071,0.00036,0.0,0.00142,0.0,0.00071,0.00853,0.01102,0.0,0.0,0.0,0.0,0.0,0.0,0.00391,0.00213,0.00071,0.0
F0.5,1.0,1.0,0.98446,1.0,0.97561,0.99265,1.0,0.96774,0.99502,1.0,0.96983,1.0,0.9982,0.68966,0.61224,1.0,1.0,1.0,1.0,1.0,1.0,0.86207,0.96831,0.99237,1.0
F1,1.0,1.0,0.98701,1.0,0.98462,0.98182,1.0,0.97959,0.98765,1.0,0.95745,1.0,0.99887,0.7,0.60759,1.0,1.0,1.0,1.0,1.0,1.0,0.87912,0.94828,0.98113,1.0
F2,1.0,1.0,0.98958,1.0,0.99379,0.97122,1.0,0.99174,0.98039,1.0,0.94538,1.0,0.99955,0.71066,0.60302,1.0,1.0,1.0,1.0,1.0,1.0,0.89686,0.92905,0.97015,1.0
FDR,0.0,0.0,0.01724,0.0,0.0303,0.0,0.0,0.04,0.0,0.0,0.02174,0.0,0.00225,0.31707,0.38462,0.0,0.0,0.0,0.0,0.0,0.0,0.14894,0.01786,0.0,0.0
FN,0,0,1,0,0,2,0,0,1,0,3,0,0,11,16,0,0,0,0,0,0,4,5,2,0
FNR,0.0,0.0,0.0087,0.0,0.0,0.03571,0.0,0.0,0.02439,0.0,0.0625,0.0,0.0,0.28205,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.09091,0.08333,0.03704,0.0
FOR,0.0,0.0,0.00037,0.0,0.0,0.00073,0.0,0.0,0.00036,0.0,0.00108,0.0,0.0,0.00397,0.00577,0.0,0.0,0.0,0.0,0.0,0.0,0.00145,0.00181,0.00072,0.0
FP,0,0,2,0,2,0,0,2,0,0,1,0,2,13,15,0,0,0,0,0,0,7,1,0,0
FPR,0.0,0.0,0.00074,0.0,0.00073,0.0,0.0,0.00072,0.0,0.0,0.00036,0.0,0.00104,0.00469,0.00541,0.0,0.0,0.0,0.0,0.0,0.0,0.00253,0.00036,0.0,0.0
G,1.0,1.0,0.98702,1.0,0.98473,0.98198,1.0,0.9798,0.98773,1.0,0.95766,1.0,0.99887,0.70022,0.60764,1.0,1.0,1.0,1.0,1.0,1.0,0.8796,0.94884,0.98131,1.0
GI,1.0,1.0,0.99056,1.0,0.99927,0.96429,1.0,0.99928,0.97561,1.0,0.93714,1.0,0.99896,0.71326,0.59459,1.0,1.0,1.0,1.0,1.0,1.0,0.90656,0.9163,0.96296,1.0
GM,1.0,1.0,0.99527,1.0,0.99964,0.98198,1.0,0.99964,0.98773,1.0,0.96807,1.0,0.99948,0.84533,0.7725,1.0,1.0,1.0,1.0,1.0,1.0,0.95226,0.95725,0.98131,1.0
IBA,1.0,1.0,0.98269,1.0,1.0,0.92985,1.0,1.0,0.95181,1.0,0.87893,1.0,1.0,0.51638,0.36128,1.0,1.0,1.0,1.0,1.0,1.0,0.82665,0.84031,0.9273,1.0
IS,6.24793,6.3281,4.5868,4.43501,5.41299,5.65003,6.24793,5.81352,6.09983,6.03112,5.84071,6.87242,1.66459,5.62178,5.43501,4.51487,6.55049,3.55049,2.55651,5.55049,6.45738,5.76529,5.5245,5.70249,5.84267
J,1.0,1.0,0.97436,1.0,0.9697,0.96429,1.0,0.96,0.97561,1.0,0.91837,1.0,0.99775,0.53846,0.43636,1.0,1.0,1.0,1.0,1.0,1.0,0.78431,0.90164,0.96296,1.0
LS,76.0,80.34286,24.03058,21.63077,42.60606,50.21429,76.0,56.24,68.58537,65.39535,57.30978,117.16667,3.17024,49.24078,43.26154,22.86179,93.73333,11.71667,5.88285,46.86667,87.875,54.39072,46.02976,52.07407,57.38776
MCC,1.0,1.0,0.98647,1.0,0.98437,0.98162,1.0,0.97944,0.98755,1.0,0.95695,1.0,0.99835,0.6959,0.60205,1.0,1.0,1.0,1.0,1.0,1.0,0.87763,0.94778,0.98095,1.0
MCCI,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Moderate,Moderate,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Strong,Very Strong,Very Strong,Very Strong
MCEN,0,0,0.02848,0,0.02737,0.03074,0,0.03326,0.0234,0,0.07476,0,0.00395,0.19192,0.28856,0,0,0,0,0,0,0.15759,0.08097,0.03153,0
MK,1.0,1.0,0.98239,1.0,0.9697,0.99927,1.0,0.96,0.99964,1.0,0.97718,1.0,0.99775,0.67896,0.60961,1.0,1.0,1.0,1.0,1.0,1.0,0.84962,0.98033,0.99928,1.0
N,2775,2777,2697,2682,2748,2756,2775,2764,2771,2769,2764,2788,1927,2773,2772,2689,2782,2572,2334,2752,2780,2768,2752,2758,2763
