Class,"0.0","1.0","2.0","3.0","4.0","5.0","6.0","7.0","8.0","9.0","10.0","11.0","12.0","13.0","14.0","15.0","16.0","17.0","18.0","19.0","20.0","21.0","22.0","23.0","24.0"
ACC,1.0,1.0,1.0,1.0,1.0,1.0,0.99858,0.9968,0.99929,0.99964,0.99964,1.0,0.99964,0.99964,0.99929,0.99929,0.99964,1.0,1.0,1.0,0.99218,0.99111,1.0,0.99964,1.0
AGF,1.0,1.0,1.0,1.0,1.0,1.0,0.97944,0.96081,0.9862,0.99797,0.99599,1.0,0.99801,0.99279,0.97821,0.99471,0.99801,1.0,1.0,1.0,0.80959,0.76503,1.0,0.99712,1.0
AGM,1.0,1.0,1.0,1.0,1.0,1.0,0.98927,0.98204,0.99151,0.99973,0.99754,1.0,0.99973,0.99555,0.98657,0.99946,0.99973,1.0,1.0,1.0,0.90472,0.87473,1.0,0.99973,1.0
AM,0,0,0,0,0,0,0,3,-2,1,-1,0,1,-1,-2,2,1,0,0,0,2,-5,0,1,0
AUC,1.0,1.0,1.0,1.0,1.0,1.0,0.97964,0.967,0.98333,0.99982,0.99519,1.0,0.99982,0.99123,0.97368,0.99964,0.99982,1.0,1.0,1.0,0.83118,0.78391,1.0,0.99982,1.0
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Good,Excellent,Excellent,Excellent
AUPR,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.90809,0.98333,0.9902,0.99519,1.0,0.99038,0.99123,0.97368,0.975,0.99038,1.0,1.0,1.0,0.64583,0.61905,1.0,0.98611,1.0
BCD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00053,0.00036,0.00018,0.00018,0.0,0.00018,0.00018,0.00036,0.00036,0.00018,0.0,0.0,0.0,0.00036,0.00089,0.0,0.00018,0.0
BM,1.0,1.0,1.0,1.0,1.0,1.0,0.95928,0.934,0.96667,0.99964,0.99038,1.0,0.99964,0.98246,0.94737,0.99928,0.99964,1.0,1.0,1.0,0.66235,0.56783,1.0,0.99964,1.0
CEN,0,0,0,0,0,0,0.044,0.08452,0.01785,0.0118,0.00665,0,0.01162,0.01081,0.03005,0.02427,0.01162,0,0,0,0.18643,0.19974,0,0.01551,0
DOR,None,None,None,None,None,None,33120.0,6744.22222,None,None,None,None,None,None,None,None,None,None,None,None,461.66667,368.93333,None,None,None
DP,None,None,None,None,None,None,2.49206,2.111,None,None,None,None,None,None,None,None,None,None,None,None,1.46892,1.41523,None,None,None
DPI,None,None,None,None,None,None,Fair,Fair,None,None,None,None,None,None,None,None,None,None,None,None,Limited,Limited,None,None,None
ERR,0.0,0.0,0.0,0.0,0.0,0.0,0.00142,0.0032,0.00071,0.00036,0.00036,0.0,0.00036,0.00036,0.00071,0.00071,0.00036,0.0,0.0,0.0,0.00782,0.00889,0.0,0.00036,0.0
F0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.89069,0.99315,0.98425,0.99806,1.0,0.98456,0.99644,0.98901,0.9596,0.98456,1.0,1.0,1.0,0.63291,0.64516,1.0,0.97765,1.0
F1,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.90722,0.98305,0.9901,0.99517,1.0,0.99029,0.99115,0.97297,0.97436,0.99029,1.0,1.0,1.0,0.64516,0.61538,1.0,0.98592,1.0
F2,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.92437,0.97315,0.99602,0.99229,1.0,0.99609,0.98592,0.95745,0.98958,0.99609,1.0,1.0,1.0,0.65789,0.58824,1.0,0.99432,1.0
FDR,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.0,0.01961,0.0,0.0,0.01923,0.0,0.0,0.05,0.01923,0.0,0.0,0.0,0.375,0.33333,0.0,0.02778,0.0
FN,0,0,0,0,0,0,2,3,2,0,1,0,0,1,2,0,0,0,0,0,10,15,0,0,0
FNR,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06383,0.03333,0.0,0.00962,0.0,0.0,0.01754,0.05263,0.0,0.0,0.0,0.0,0.0,0.33333,0.42857,0.0,0.0,0.0
FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.00072,0.00109,0.00073,0.0,0.00037,0.0,0.0,0.00036,0.00072,0.0,0.0,0.0,0.0,0.0,0.0036,0.00539,0.0,0.0,0.0
FP,0,0,0,0,0,0,2,6,0,1,0,0,1,0,0,2,1,0,0,0,12,10,0,1,0
FPR,0.0,0.0,0.0,0.0,0.0,0.0,0.00072,0.00217,0.0,0.00036,0.0,0.0,0.00036,0.0,0.0,0.00072,0.00036,0.0,0.0,0.0,0.00431,0.0036,0.0,0.00036,0.0
G,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.90765,0.98319,0.99015,0.99518,1.0,0.99034,0.99119,0.97333,0.97468,0.99034,1.0,1.0,1.0,0.6455,0.61721,1.0,0.98601,1.0
GI,1.0,1.0,1.0,1.0,1.0,1.0,0.95928,0.934,0.96667,0.99964,0.99038,1.0,0.99964,0.98246,0.94737,0.99928,0.99964,1.0,1.0,1.0,0.66235,0.56783,1.0,0.99964,1.0
GM,1.0,1.0,1.0,1.0,1.0,1.0,0.97944,0.96651,0.98319,0.99982,0.99518,1.0,0.99982,0.99119,0.97333,0.99964,0.99982,1.0,1.0,1.0,0.81473,0.75457,1.0,0.99982,1.0
IBA,1.0,1.0,1.0,1.0,1.0,1.0,0.92163,0.87654,0.93444,1.0,0.98086,1.0,1.0,0.96522,0.89751,1.0,1.0,1.0,1.0,1.0,0.44539,0.32741,1.0,1.0,1.0
IS,5.78496,6.36992,1.6388,2.61503,5.41299,6.36992,5.75463,5.71837,5.55049,5.78496,4.75694,4.35935,5.75694,5.62449,6.20945,6.13545,5.75694,6.3281,5.78496,6.70249,5.87242,5.74314,4.51487,6.28746,3.51487
J,1.0,1.0,1.0,1.0,1.0,1.0,0.92308,0.83019,0.96667,0.98039,0.99038,1.0,0.98077,0.98246,0.94737,0.95,0.98077,1.0,1.0,1.0,0.47619,0.44444,1.0,0.97222,1.0
