Class,"0.0","1.0","2.0","3.0","4.0","5.0","6.0","7.0","8.0","9.0","10.0","11.0","12.0","13.0","14.0","15.0","16.0","17.0","18.0","19.0","20.0","21.0","22.0","23.0","24.0"
ACC,1.0,1.0,1.0,1.0,0.99964,1.0,0.99929,0.99716,0.99929,1.0,0.99964,1.0,0.99964,0.99964,0.99929,0.99929,0.99964,1.0,1.0,1.0,0.99147,0.99004,1.0,0.99964,1.0
AGF,1.0,1.0,1.0,1.0,0.99845,1.0,0.98977,0.96978,0.9862,1.0,0.99599,1.0,0.99801,0.99279,0.97821,0.99471,0.99801,1.0,1.0,1.0,0.78895,0.72768,1.0,0.99712,1.0
AGM,1.0,1.0,1.0,1.0,0.99973,1.0,0.99466,0.98754,0.99151,1.0,0.99754,1.0,0.99973,0.99555,0.98657,0.99946,0.99973,1.0,1.0,1.0,0.8941,0.855,1.0,0.99973,1.0
AM,0,0,0,0,1,0,0,4,-2,0,-1,0,1,-1,-2,2,1,0,0,0,2,-6,0,1,0
AUC,1.0,1.0,1.0,1.0,0.99982,1.0,0.98982,0.97764,0.98333,1.0,0.99519,1.0,0.99982,0.99123,0.97368,0.99964,0.99982,1.0,1.0,1.0,0.81433,0.75516,1.0,0.99982,1.0
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Good,Excellent,Excellent,Excellent
AUPR,1.0,1.0,1.0,1.0,0.99254,1.0,0.98,0.9199,0.98333,1.0,0.99519,1.0,0.99038,0.99123,0.97368,0.975,0.99038,1.0,1.0,1.0,0.61354,0.56749,1.0,0.98611,1.0
BCD,0.0,0.0,0.0,0.0,0.00018,0.0,0.0,0.00071,0.00036,0.0,0.00018,0.0,0.00018,0.00018,0.00036,0.00036,0.00018,0.0,0.0,0.0,0.00036,0.00107,0.0,0.00018,0.0
BM,1.0,1.0,1.0,1.0,0.99964,1.0,0.97964,0.95528,0.96667,1.0,0.99038,1.0,0.99964,0.98246,0.94737,0.99928,0.99964,1.0,1.0,1.0,0.62866,0.51032,1.0,0.99964,1.0
CEN,0,0,0,0,0.0095,0,0.02379,0.07547,0.01785,0,0.00665,0,0.01162,0.01081,0.03005,0.02427,0.01162,0,0,0,0.17855,0.21071,0,0.01551,0
DOR,None,None,None,None,None,None,135289.0,10346.25,None,None,None,None,None,None,None,None,None,None,None,None,367.90909,266.24599,None,None,None
DP,None,None,None,None,None,None,2.82901,2.21347,None,None,None,None,None,None,None,None,None,None,None,None,1.41457,1.33713,None,None,None
DPI,None,None,None,None,None,None,Fair,Fair,None,None,None,None,None,None,None,None,None,None,None,None,Limited,Limited,None,None,None
